Q/Time;GDP Expenditure method,GDP - Expenditure method, Constant prices, SA,GDP - Gross domestic product,[SK, r, sa, mil. Eur], SO SR
1Q1993;7687.3711884008
2Q1993;7687.3711884008
3Q1993;7794.2256479195
4Q1993;7884.6386654354
1Q1994;8003.6967092835
2Q1994;8146.9628803797
3Q1994;8246.3558275203
4Q1994;8403.0365882432
1Q1995;8522.3597077962
2Q1995;8624.96015653
3Q1995;8762.8657426601
4Q1995;8831.9808694579
1Q1996;8997.999231352
2Q1996;9148.8973202623
3Q1996;9273.2865060311
4Q1996;9491.741921643
1Q1997;9683.5992520636
2Q1997;9792.3164943277
3Q1997;9934.6396494795
4Q1997;10097.113568756
1Q1998;10054.7012874369
2Q1998;10216.3900982589
3Q1998;10220.1481285873
4Q1998;10145.2183596661
1Q1999;10896.8764134877
2Q1999;10539.0299849802
3Q1999;10351.8799018233
4Q1999;10275.9947274773
1Q2000;10226.6683857192
2Q2000;10343.9109945832
3Q2000;10448.7933834695
4Q2000;10516.9467055103
1Q2001;10584.855916437
2Q2001;10653.9580438042
3Q2001;10770.8212726159
4Q2001;10816.1352442573
1Q2002;11043.0104393226
2Q2002;11081.3962232501
3Q2002;11194.5757605439
4Q2002;11444.1165802445
1Q2003;11521.4784359615
2Q2003;11726.0486498265
3Q2003;11892.4491809635
4Q2003;11938.513653606
1Q2004;12136.067515604
2Q2004;12289.0240035095
3Q2004;12380.717037111
4Q2004;12666.0504237665
1Q2005;12865.3885356131
2Q2005;13031.7923358407
3Q2005;13306.5394437778
4Q2005;13527.9641737033
1Q2006;13723.9460466781
2Q2006;14048.8532225133
3Q2006;14370.8490666813
4Q2006;14644.5957967496
1Q2007;15055.8669140558
2Q2007;15373.8382471693
3Q2007;15759.8414239762
4Q2007;16136.4063207403
1Q2008;17126.8110081142
2Q2008;16699.4201635413
3Q2008;16898.486658264
4Q2008;17123.0600633438
1Q2009;17301.3331148508
2Q2009;15724.0715866692
3Q2009;15955.5385445912
4Q2009;16191.8420410187
1Q2010;16462.3098277209
2Q2010;16669.3932962238
3Q2010;16825.0390550979
4Q2010;16987.233513542
1Q2011;17095.6221351362
2Q2011;17190.4281072754
3Q2011;17321.2384951573
4Q2011;17415.6415619088
1Q2012;17555.0508356585
2Q2012;17599.297700885
3Q2012;17645.8491702802
4Q2012;17687.8659051302
1Q2013;17700.7722237046
2Q2013;17780.1255521623
3Q2013;17865.1381804343
4Q2013;17964.6864624046
1Q2014;18076.7348049988
2Q2014;18189.6865252249
3Q2014;18307.294108208
4Q2014;18441.9797808323
1Q2015;18590.6835857349
2Q2015;18804.5397136164
3Q2015;18983.6885274252
4Q2015;19187.8995956775
1Q2016;19370.4991632809
2Q2016;19492.0192771296
3Q2016;19651.8792620503
4Q2016;19778.9876714074
1Q2017;19931.8417894127
2Q2017;20087.9831674383
3Q2017;
4Q2017;
